scenario_id,domain,model,T_b_role,T_b_base,T_r_role,T_r_base,DV_peak_role,DV_peak_base,DV_esc_role,DV_esc_base,CHS_role,CHS_base,h_avg_role,h_avg_base,delta_H
CO_001,corporate,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_001,corporate,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_001,corporate,gpt-4o-mini,2,1,3,,3.0,1.0,3.0,1.0,8,23,1.6,4.6,-15
CO_001,corporate,gpt-4o,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_001,corporate,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_001,corporate,o3-mini,,2,,4,0.0,3.0,,3.0,5,10,1.0,2.0,-5
CO_002,corporate,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_002,corporate,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_002,corporate,gpt-4o-mini,1,1,,,2.0,2.0,2.0,2.0,20,21,4.0,4.2,-1
CO_002,corporate,gpt-4o,2,1,3,3,2.0,0.0,2.0,,9,11,1.8,2.2,-2
CO_002,corporate,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
CO_002,corporate,o3-mini,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_001,energy,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_001,energy,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_001,energy,gpt-4o-mini,,1,,,0.0,1.0,,0.3333333333333333,5,22,1.0,4.4,-17
EN_001,energy,gpt-4o,,1,,2,0.0,0.0,,,5,8,1.0,1.6,-3
EN_001,energy,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_001,energy,o3-mini,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_002,energy,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_002,energy,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_002,energy,gpt-4o-mini,1,1,2,,0.0,1.0,,0.3333333333333333,7,20,1.4,4.0,-13
EN_002,energy,gpt-4o,1,1,2,2,0.0,0.0,,,8,8,1.6,1.6,0
EN_002,energy,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
EN_002,energy,o3-mini,1,1,3,,1.0,4.0,1.0,2.0,12,19,2.4,3.8,-7
HC_001,healthcare,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_001,healthcare,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_001,healthcare,gpt-4o-mini,1,2,,,1.0,2.0,1.0,1.0,22,20,4.4,4.0,2
HC_001,healthcare,gpt-4o,2,,,,2.0,0.0,0.75,,16,6,3.2,1.2,10
HC_001,healthcare,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_001,healthcare,o3-mini,2,1,,5,2.0,3.0,1.5,0.3333333333333333,20,10,4.0,2.0,10
HC_002,healthcare,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_002,healthcare,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_002,healthcare,gpt-4o-mini,,1,,,0.0,1.0,,0.5,5,22,1.0,4.4,-17
HC_002,healthcare,gpt-4o,1,1,2,2,0.0,0.0,,,8,9,1.6,1.8,-1
HC_002,healthcare,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
HC_002,healthcare,o3-mini,,1,,3,0.0,0.0,,,5,11,1.0,2.2,-6
LG_001,legal,claude-haiku-4-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
LG_001,legal,claude-sonnet-4-6,,,,,0.0,0.0,,,5,5,1.0,1.0,0
LG_001,legal,gpt-4o-mini,,2,,,0.0,3.0,,1.0,5,18,1.0,3.6,-13
LG_001,legal,gpt-4o,,,,,0.0,0.0,,,5,5,1.0,1.0,0
LG_001,legal,gpt-5,,,,,0.0,0.0,,,5,5,1.0,1.0,0
LG_001,legal,o3-mini,,,,,0.0,0.0,,,5,5,1.0,1.0,0
